# Chado database date: 2024-09-30 21:55
gene_systematic_id	gene_name	synonyms	gene_product
SPAC25B8.20	smp1		Schizosaccharomyces specific microprotein Smp1
SPAC25G10.01		SPAC2C4.18	mRNA splicing or mRNA surveillance facor
SPAC25G10.02	cce1	ydc2	cruciform-cutting endonuclease Cce1
SPAC25G10.03	zip1		DNA-binding transcription factor Zip1
SPAC25G10.04c	rec10	rec20	meiotic recombination protein Rec10
SPAC25G10.05c	his1		ATP phosphoribosyltransferase
SPAC25G10.06	rps2801	rps28-1	40S ribosomal protein S28
SPAC25G10.07c	cut7		kinesin-5 family plus-end directed microtubule motor, bimC subfamily Cut7
SPAC25G10.08	tif302		translation initiation factor eIF3b (p84)
SPAC25G10.09c	pan1	SPAC27F1.01c	actin cortical patch component, with EF hand and WH2 motif Pan1
SPAC25H1.02	jmj1		2-oxoglutarate- and Fe(II)-dependent oxygenase Jmj1
SPAC25H1.03	atg101	mug66	autophagy associated HORMA domain protein Atg101
SPAC25H1.04	mug105	zup1	K48-linkage specific deubiquitinase
SPAC25H1.05	meu29		calcium transport factor
SPAC25H1.06	pcf3		histone H3-H4 chaperone, CAF assembly factor (CAF-1) complex WD repeat subunit C, Pcf3
SPAC25H1.07	emc1		ER membrane protein complex subunit Emc1
SPAC25H1.08c	sqt1		ribosome assembly protein Sqt1
SPAC25H1.09	mde5	meu30,SPAC4A8.01	alpha-amylase homolog Mde5
SPAC25H1.10c	atp19		F1-FO ATP synthase subunit K
SPAC26A3.01	sxa1	SPAC2E1P5.06	aspartic protease Sxa1
SPAC26A3.02	myh1	myh	DNA adenine glycosylase Myh1
SPAC26A3.03c	rmi1		RecQ mediated genome instability protein Rmi1
SPAC26A3.04	rpl2002	rpl20,rpl20-2	60S ribosomal protein L20A
SPAC26A3.05	chc1		clathrin heavy chain Chc1
SPAC26A3.06	bud23		rRNA (guanine-N7-)-methyltransferase Bud23
SPAC26A3.07c	rpl1101	rpl11-1,rpl11	60S ribosomal protein L11
SPAC26A3.08	smb1	smb	Sm snRNP core protein Smb1
SPAC26A3.09c	rga2	SPAC26A3.09	RhoGAP Rga2
SPAC26A3.10	cnt6		centaurin ADP ribosylation factor GTPase activating protein family
SPAC26A3.11			mitochondrial omega-amidase
SPAC26A3.12c	dhp1	rat1	5'-3' exoribonuclease Dhp1
SPAC26A3.13c	Tf2-4		retrotransposable element/transposon Tf2-type
SPAC26A3.14c	atg44	SPAC23A6.14c,mdi1	mitofissin Atg44
SPAC26A3.15c	nsp1		nucleoporin Nsp1
SPAC26A3.16	dsk2	dph1,ucp5	UBA domain protein Dph1/Dsk2
SPAC26A3.17c	rmt2	SPAC8E11.11	N-methyltransferase
SPAC26F1.01	sec74	SPAPJ691.01c	ArfGEF Sec74
SPAC26F1.02	pnn1		EJC auxiliary factor, pinin ortholog Pnn1
SPAC26F1.03	pda1		pyruvate dehydrogenase e1 component alpha subunit Pda1
SPAC26F1.04c	etr1		enoyl-[acyl-carrier protein] reductase
SPAC26F1.05	mug106		Schizosaccharomyces pombe specific protein Mug106
SPAC26F1.06	gpm1		monomeric 2,3-bisphosphoglycerate (BPG)-dependent phosphoglycerate mutase (PGAM), Gpm1
SPAC26F1.07			aldose reductase (NADPH)
SPAC26F1.08c			transmembrane protein, implicated in transmembrane transport or endocytosis
SPAC26F1.09	gyp51		RabGAP Gyp51
SPAC26F1.10c	pyp1		protein tyrosine phosphatase Pyp1
SPAC26F1.11			dubious
SPAC26F1.12c	hgh1		chaperone for translation factor EF2, armadillo-type fold, Hgh1
SPAC26F1.13c	lrs1		cytoplasmic leucine-tRNA ligase Lrs1
SPAC26F1.14c	aif1	SPAC29A4.01c	mitochondrial inner membrane anchored oxidoreductase Aif1
SPAC26H5.02c	mgs1		DNA replication ATPase Mgs1
SPAC26H5.03	pcf2	cac2	histone H3-H4 chaperone, CAF assembly factor (CAF-1) complex WD repeat subunit, Pcf2
SPAC26H5.04	gid5		GID complex armadillo repeat subunit Gid5
SPAC26H5.05	mga2		membrane sensing transcription coactivator, ankyrin repeat containing Mga2
SPAC26H5.06	pot1		shelterin complex subunit Pot1
SPAC26H5.07c			seven transmembrane receptor protein
SPAC26H5.08c	bgl2		cell wall glucan beta-glucosidase Bgl2
SPAC26H5.09c			oxidoreductase involved in NADPH regeneration
SPAC26H5.10c	tif51		translation elongation and termination factor eIF5A
SPAC26H5.11	mug56		prospore membrane formation protein Mug56
SPAC26H5.12	rpo41		mitochondrial RNA polymerase Rpo41
SPAC26H5.13c	kei1		inositol phoshorylceramide synthase regulatory subunit Kei1
SPAC27D7.02c	grp1		Golgi GRIP domain protein Grp1
SPAC27D7.03c	mei2		RNA-binding protein involved in meiosis Mei2
SPAC27D7.04	omt2		4-alpha-hydroxytetrahydrobiopterin dehydratase
SPAC27D7.05c	apc14	omt1	anaphase-promoting complex subunit Apc14
SPAC27D7.06	etf1		electron transfer flavoprotein alpha subunit EtfA
SPAC27D7.07c	smd1		Sm snRNP core protein Smd1
SPAC27D7.08c	mtl16		23S rRNA/U6 snRNA (adenine-N(6))-methyltransferase Mtl16
SPAC27D7.09c		SPAC27D7.10c	But2 family protein, similar to cell surface molecules
SPAC27D7.11c			But2 family protein, similar to cell surface molecules
SPAC27D7.12c	but1	SPAC27D7.12,mug107,prx	thioredoxin family protein But1
SPAC27D7.13c	ssm4	SPAC637.01c	dynactin microtubule-binding subunit, p150-Glued Ssm4
SPAC27D7.14c	tpr1	SPAC637.02c,ctr9	RNA polymerase II associated Paf1 complex subunit Tpr1
SPAC27E2.01			alpha-amylase homolog
SPAC27E2.02	yih1		eIF2alpha (Gcn2) kinase inhibitor (human IMPACT homolog) Yih1
SPAC27E2.03c			Obg-like ATPase, human OLA1 ortholog
SPAC27E2.04c	mug155		dubious
SPAC27E2.05	cdc1	mis1	DNA polymerase delta small subunit Cdc1
SPAC27E2.06c	msm1		mitochondrial methionine-tRNA ligase Msm1
SPAC27E2.07	pvg2	mug53	Golgi 4,6-pyruvylated galactose (PvGal) residue biosynthesis protein Pvg2
SPAC27E2.08	Tf2-6		retrotransposable element/transposon Tf2-type
SPAC27E2.09	mak2	phk1	phosphorelay sensor kinase Mak2
SPAC27E2.10c	rfc3	SPAPJ698.01c	DNA replication factor C complex subunit Rfc3
SPAC27E2.11c			Schizosaccharomyces specific protein, GPI anchored
SPAC27E2.12			Schizosaccharomyces pombe specific protein
SPAC27E2.14			Schizosaccharomyces pombe specific microprotein
SPAC27F1.02c	cdc8	fus4	tropomyosin
SPAC27F1.03c	uch1		ubiquitin C-terminal hydrolase Uch1
SPAC27F1.04c	nuf2		Ndc80 complex subunit Nuf2
SPAC27F1.05c			aminotransferase class-III, unknown specificity
SPAC27F1.06c	ani2	fkbp40	nucleophosmin-like histone chaperone/CENP-A amino terminus domain (NTD) isomerase Ani2/Fkbp40
SPAC27F1.07	ost1		oligosaccharyltransferase complex alpha subunit, Ost1
SPAC27F1.08	pdt1		plasma membrane Nramp family manganese ion transmembrane transporter
SPAC27F1.09c	prp10	sap155,SF3b155	U2 snRNP-associated protein SF3B1
SPAC27F1.10			Schizosaccharomyces pombe specific protein
SPAC29A4.02c			translation elongation factor EF-1 gamma subunit
SPAC29A4.03c	mrps9		mitochondrial ribosomal protein subunit S9
SPAC29A4.04c	cbf5		pseudouridine synthase Cbf5
SPAC29A4.05	cam2		myosin I light chain Cam2
SPAC29A4.06c			splicing protein, human NSRP1 ortholog
SPAC29A4.07	srb6	med22	mediator complex subunit Med22
SPAC29A4.08c	prp19	cwf8	Prp19 complex subunit, ubiquitin-protein ligase E4 Prp19
SPAC29A4.09	rrp17		rRNA exonuclease Rrp17
SPAC29A4.10	rrn5		RNA polymerase I upstream activation factor complex subunit Rrn5
SPAC29A4.11	rga3		RhoGAP Rga3
SPAC29A4.12c	mug108		Schizosaccharomyces specific protein Mug108
SPAC29A4.13	ure6		urease accessory protein UreF
SPAC29A4.14c	pex3		peroxin-3 peroxisome-plasma membrane adaptor Pex3
SPAC29A4.15	srs1		cytoplasmic serine-tRNA ligase Srs1
SPAC29A4.16	hal4	sat4,ppk10	serine/threonine protein kinase Hal4
SPAC29A4.17c	fun14	atg43	integral mitochondrial outer membrane (MOM) protein
SPAC29A4.18	prw1		histone chaperone, Clr6 and Rpd3L complex WD repeat subunit Prw1
SPAC29A4.19c	cta5		P-type ATPase P5 type Cta5
SPAC29A4.20	elp3	kat9	elongator complex tRNA uridine(34) acetyltransferase subunit Elp3
SPAC29A4.22			dubious
SPAC29A4.23			Schizosaccharomyces specific protein
SPAC29B12.01	ino80	SPAC3G6.12	SNF2 family ATP-dependent chromatin remodeller Ino80
SPAC29B12.02c	set2	kmt3	histone lysine H3-K36 methyltransferase Set2
SPAC29B12.03	spd1		ribonucleotide reductase (RNR) inhibitor
SPAC29B12.04	snz1		pyridoxal 5'-phosphate synthase (glutamine hydrolysing)
SPAC29B12.05c	mtq1		mitochondrial N(5)-glutamine methyltransferase
SPAC29B12.06c	rcd1	not9	CCR4-Not complex RNA-binding protein subunit 9
SPAC29B12.07	sec16		multidomain vesicle coat component Sec16
SPAC29B12.08	clr5		Clr5 protein
SPAC29B12.10c	pgt1	opt1	plasma membrane glutathione transmembrane transporter Pgt1
SPAC29B12.11c			human WW domain binding protein-2 ortholog
SPAC29B12.12	hot13		helper of TIM Hot13
SPAC29B12.13			CENP-V, S-(hydroxymethyl)glutathione synthase
SPAC29B12.14c			plasma membrane purine transmembrane transporter
SPAC29E6.01	pof11	SPAC30.05,mug156	F-box/WD repeat protein Pof11
SPAC29E6.02	prp3	SPAC30.06	U4/U6 x U5 tri-snRNP complex subunit Prp3
SPAC29E6.03c	uso1	SPAC30.07c	ER to Golgi tether Uso1
SPAC29E6.04	nnf1	SPAC30.08	MIS12/MIND complex subunit Nnf1
SPAC29E6.05c	mxr1	MsrA,SPAC30.09c	peptide-methionine (S)-S-oxide reductase MsrA
SPAC29E6.06c		SPAC30.10c	cytoplasmic cysteine-tRNA ligase Crs1
SPAC29E6.07		SPAC30.11	Schizosaccharomyces pombe specific protein, expressed during meiotic cell cycle
SPAC29E6.08	tbp1	tdf1,tbp,SPAC30.12	TATA-binding protein (TBP)
SPAC29E6.09		SPAC30.13	Schizosaccharomyces specific protein
SPAC29E6.10c	nst1	SPAC30.14c	P-body component, Nst1
SPAC2C4.03c	smd2	cwf9	Sm snRNP core protein Smd2
SPAC2C4.04c	aim29	ceo4	Zpr1 co-chaperone for EF-1 alpha folding
SPAC2C4.05	cor1		cornichon family protein
SPAC2C4.06c	rcm1		rRNA (cytosine-5-)-methyltransferase Rcm1
SPAC2C4.07c	dis32	dis3L2	3'-5'-exoribonuclease activity Dis3L2
SPAC2C4.08			REX family exonuclease, implicated in rDNA metabolism or ribosome biogenesis, potential human ISG20L2 ortholog
SPAC2C4.09			mitochondrial calcium uniporter regulator
SPAC2C4.10c	csc4		SIP/FAR complex subunit Csc4
SPAC2C4.11c	pno1	rbp28	KH domain RNA-binding protein Pno1
SPAC2C4.12c	tpt1		tRNA 2'-phosphotransferase Tpt1/ CIA machinery involved in ribosome biogenesis protein Yae1 fusion protein
SPAC2C4.13	vma16		V-type ATPase V0 subunit c''
SPAC2C4.14c	ppk11		PAK-related GC kinase Ppk11
SPAC2C4.15c	ubx2		UBX domain protein Ubx2
SPAC2C4.16c	rps801	rps8-1,rps8	40S ribosomal protein S8
SPAC2C4.17c	msy2		MS ion channel protein 2
SPAC2E12.02	hsf1	hstf,hsf	DNA-binding transcription factor Hsf1
SPAC2E12.03c			vacuolar basic amino acid transmembrane transporter
SPAC2E12.05	wtf1	wts1	wtf element (truncated) Wtf1
SPAC2E1P3.01			dehydrogenase
SPAC2E1P3.02c	amt3		plasma membrane ammonium transmembrane transporter Amt3
SPAC2E1P3.03c	Tf2-3		retrotransposable element/transposon Tf2-type
SPAC2E1P3.04	cao1	spao1	copper amine oxidase Cao1
SPAC2E1P3.05c	cbm1		fungal cellulose binding domain protein
SPAC2E1P5.01c	mns1	SPAPB1E7.13c	mannosyl-oligosaccharide 1,2-alpha-mannosidase
SPAC2E1P5.02c	mug109		Rab GTPase binding protein upregulated in meiosis II
SPAC2E1P5.03	erj5		ER DNAJ domain protein Erj5
SPAC2E1P5.04c	cwg2	orb7	geranylgeranyltransferase I beta subunit Cwg2
SPAC2E1P5.05	rrp9		U3 snoRNP-associated protein Rrp9
SPAC2F3.01	imt1	SPAC323.09	inositol phosphorylceramide mannosyltransferase activity Imt1
SPAC2F3.02	sec67		ER protein translocation subcomplex subunit Sec67
SPAC2F3.03c	rpa49	rpa51	DNA-directed RNA polymerase I complex subunit Rpa49
SPAC2F3.04c	rim1		mitochondrial single-stranded DNA binding protein Rim1
SPAC2F3.05c			xylose and arabinose reductase
SPAC2F3.06c	kap104		karyopherin/importin beta family nuclear import signal receptor Kap104
SPAC2F3.07c			dubious
SPAC2F3.08	sut1		plasma membrane sucrose/maltose:proton symporter Sut1
SPAC2F3.09	hem1		5-aminolevulinate synthase Hem1
SPAC2F3.10	vps54		GARP complex subunit Vps54
SPAC2F3.11	ppx1		exopolyphosphatase, prune Ppx1
SPAC2F3.12c	plp1		thioredoxin fold protein Plp1
SPAC2F3.13c	qtr2		queuine tRNA-ribosyltransferase accessory subunit Qtrtd1/Qtr2
SPAC2F3.14c	saf2		splicing associated factor Saf2
SPAC2F3.15	lsk1	ctk1	P-TEFb-associated cyclin-dependent protein kinase Lsk1
SPAC2F3.16			ubiquitin-protein ligase E3, implicated in DNA repair
SPAC2F3.17c	lsm6		Lsm2-8 complex subunit Lsm6
SPAC2F3.18c			small endoribonuclease with 2 transmembrane domains, RNASEK, poorly chracterized protein implicated in endocytic pathway, vacuolar pricesses, protection against virus's
SPAC2F7.02c	psr1		RNA polymerase II CTD S5 small phosphatase Psr1
SPAC2F7.03c	pom1		DYRK family cell polarity protein kinase Pom1
SPAC2F7.04	med1	pmc2	mediator complex subunit Med1
SPAC2F7.05c	tif5		translation initiation factor eIF5, Tif5
SPAC2F7.06c	pol4		DNA polymerase X family
SPAC2F7.07c	cph2	rco1	Clr6 histone deacetylase associated PHD-finger protein Cph2
SPAC2F7.08c	snf5		SWI/SNF complex subunit Snf5
SPAC2F7.09c	gep3		mitochondrial GTPase related protein Gep3
SPAC2F7.10	akr1		palmitoyltransferase Akr1
SPAC2F7.11	nrd1	msa2	RNA-binding protein Nrd1
SPAC2F7.13c	wrs1		cytoplasmic tryptophan-tRNA ligase Wrs1
SPAC2F7.14c	rrp4		exosome subunit Rrp4
SPAC2F7.15	rsm24		mitochondrial ribosomal protein subunit S35
SPAC2F7.16c	pld1		phospholipase D, Pld1
SPAC2F7.17	mrf1		mitochondrial translation release factor
SPAC2G11.02	urb2		ribosome biogenesis protein Urb2
SPAC2G11.03c	vps45	vas1	vacuolar sorting protein Vps45
SPAC2G11.04	rbm17		RNA-binding protein, G-patch type, alternative splicing factor 45
SPAC2G11.05c	alx1	rim20	ESCRT-III regulator Alx1
SPAC2G11.06	vps4		AAA family ATPase Vps4
SPAC2G11.07c	ptc3		serine/threonine protein phosphatase PP2C catalytic subunit Ptc3
SPAC2G11.08c	smn1	yab8	SMN complex subunit Smn1/Gem1
SPAC2G11.09			plasma membrane calcium permeable gated cation channel
SPAC2G11.10c	uba42		thiosulfate sulfurtransferase, URM1 activating enzyme E1-type Uba42
SPAC2G11.11c	prh1		ATP-dependent RNA helicase Prh1
SPAC2G11.12	rqh1	hus2,rad12,rec9	RecQ type DNA helicase Rqh1
SPAC2G11.13	atg22		vacuolar amino acid transmembrane transporter Atg22
SPAC2G11.14	taf1	taf111,taf130,kat4	transcription factor TFIID complex, histone acetyltransferase subunit Taf111
SPAC2G11.15c	tgs1	SPAC521.01c,tgs2	snRNA and snoRNA trimethylguanosine synthase Tgs1
SPAC2H10.01			DNA-binding transcription factor, zf-fungal binuclear cluster type
SPAC2H10.02c	nas2		26S proteasome regulatory particle assembly factor Nas2
SPAC2H10.04			dubious
SPAC30.01c	sec72	sec7b	ArfGEF Sec72
SPAC30.02c	kti12		elongator complex associated protein Kti12
SPAC30.03c	tsn1	tsn,mug90	translin
SPAC30.04c	abc4		vacuolar phytochelatin and glutathione S-conjugate ABC family transmembrane transporter Abc4
SPAC30C2.02	mmd1		eIF-5A-deoxyhypusine hydroxylase
SPAC30C2.03			NTPase related protein
SPAC30C2.04	asc1		cofactor for cytoplasmic methionyl-and glutamyl-tRNA synthetases Asc1
SPAC30C2.05	erv14		cornichon family protein Erv14
SPAC30C2.06c	dml1		mitochondrial inheritance GTPase, tubulin-like
SPAC30C2.07	fnp1	lst4	folliculin-interacting protein, BFC/FNIP-Folliculin complex subunit subunit Fnp1
SPAC30C2.08			UPF0662 family conserved fungal protein
SPAC30D11.01c	gto2	SPAC56F8.01	alpha-glucosidase
SPAC30D11.02c			Schizosaccharomyces pombe specific protein
SPAC30D11.03	ddx27	drs1	ATP-dependent RNA helicase Ddx27/Drs1
SPAC30D11.04c	nup124		nucleoporin Nup124
SPAC30D11.05	aps3		AP-3 adaptor complex subunit Aps3
SPAC30D11.06c	hfl1		organic solute transmembrane transporter
SPAC30D11.07	nth1		DNA endonuclease III
SPAC30D11.08c	phf2	swp2,saf60	Lsd1/2 complex PHD finger protein Phf2
SPAC30D11.09	cwf19		complexed with Cdc5 protein Cwf19
SPAC30D11.10	rad52	rad22A,rad22	DNA recombination mediator Rad52 (previously Rad22)
SPAC30D11.11	izh3		ER membrane Haemolysin-III family protein involved in zinc homeostasis Izh3
SPAC30D11.12	rpl3802	rpl38-2,rps38	60S ribosomal protein L38
SPAC30D11.13	hus5	ubc9	SUMO conjugating enzyme E2 Hus5/Ubc9
SPAC30D11.14c			KH domain RNA-binding protein, involved in splicing
SPAC31A2.02	trm112		eRF1 methyltransferase complex and tRNA (m2G10) methyltransferase complex regulatory subunit Trm112
SPAC31A2.03	mrp11	mrpl11	mitochondrial ribosomal protein subunit L10
SPAC31A2.04c	pre1		20S proteasome complex subunit beta 4 Pre1
SPAC31A2.05c	mis4	scc2	cohesin loading factor (adherin) Mis4/Scc2
SPAC31A2.06	atp25		mitochondrial poly(A) RNA polymerase Atp25
SPAC31A2.07c	dbp10		ATP-dependent RNA helicase Dbp10
SPAC31A2.08	mrp20		mitochondrial ribosomal protein subunit L23
SPAC31A2.09c	apm4		AP-2 adaptor complex mu subunit Apm4
SPAC31A2.10			Ran GTPase binding protein
SPAC31A2.11c	cuf1		DNA-binding transcription factor, nutritional copper sensing Cuf1
SPAC31A2.12	rod1		arrestin-related substrate adaptor Rod1
SPAC31A2.13c	sft1		SNARE Sft1
SPAC31A2.14	bun107	wdr48	WD repeat protein, human WDR48 family Bun107
SPAC31A2.15c	dcc1		Ctf18 RFC-like complex subunit Dcc1
SPAC31A2.16	gef2		RhoGEF Gef2
SPAC31F12.01	zds1	SPAC637.14,mug88	serine/threonine protein phosphatase PP2A regulatory subunit, Zds1
SPAC31G5.01	sap49	SF3b49,SPAPB1A11.05	U2 snRNP-associated RNA-binding protein Sap49
SPAC31G5.02	rot1		ER chaperone Rot1
SPAC31G5.03	rps1101	rps11-1	40S ribosomal protein S11
SPAC31G5.04	lys12		homoisocitrate dehydrogenase Lys12
SPAC31G5.05c	rpe1		ribulose phosphate 3-epimerase Rpe1
SPAC31G5.06	rrg8		mitochondrial mitochondrial tRNA 5'-end processing protein Rrg8
SPAC31G5.07	dni1		tetraspan protein, claudin Dni1
SPAC31G5.08	hem4	ups1,ups	uroporphyrinogen-III synthase Ups
SPAC31G5.09c	spk1		MAP kinase Spk1
SPAC31G5.10	eta2		RNA polymerase I termination factor, Myb family Eta2
SPAC31G5.11	pac2		cAMP-independent regulatory protein Pac2
SPAC31G5.12c	maf1	n150	repressor of RNA polymerase III Maf1
SPAC31G5.13	rpn11	pad1,sks1,bfr2,mts5	19S proteasome regulatory subunit, ubiquitin-specific protease subunit Rpn11
SPAC31G5.14	gcv1	n313	glycine decarboxylase T subunit
SPAC31G5.15	psd3		phosphatidylserine decarboxylase Psd3
SPAC31G5.16c	dpm1		dolichyl-phosphate beta-D-mannosyltransferase catalytic subunit Dpm1
SPAC31G5.17c	rps1001	rps10-1	40S ribosomal protein S10
SPAC31G5.18c	sde2		intron-specific pre-mRNA splicing-ubiquitin fusion protein Sde2
SPAC31G5.19	abo1		histone H3-H4 chaperone (ATP-dependent) Abo1
SPAC31G5.21			DUF1754 family, human FAM32A homolog, implicated in mRNA splicing or surveillance
SPAC323.01c	pos5		mitochondrial NADH kinase Pos5
SPAC323.02c	pup2		20S proteasome complex subunit alpha 5, Pup2
SPAC323.03c	pex8		peroxisomal importomer complex subunit Pex8
SPAC323.04			mitochondrial ATPase
SPAC323.05c	mtq2		eRF1 methyltransferase Mtq2
SPAC323.06c	uba5		NEDD8 activating enzyme E1-type Uba5
SPAC323.07c			MatE family transmembrane transporter
SPAC323.08	rmp1		RNase MRP subunit Rmp1/NEPRO
SPAC328.01c	msn5	SPAC3A11.01	karyopherin/importin beta family nuclear import/export signal receptor
SPAC328.02	dbl4		ubiquitin-protein ligase E3 involved in sporulation Dbl4
SPAC328.03	tps1		alpha,alpha-trehalose-phosphate synthase [UDP-forming]
SPAC328.04	spg4		microtubule severing ATPase Spg4
SPAC328.05	hrb1		mRNA splicing surveillance factor, RNA-binding protein Hrb1
SPAC328.06	ubp2		ubiquitin C-terminal hydrolase Ubp2
SPAC328.07c	bsd1		human NEDD4 family-interacting protein ortholog
SPAC328.08c	tbc1		tubulin specific chaperone cofactor C, GTPase activating protein Tbc1
SPAC328.09	odc1		mitochondrial carrier, 2-oxoadipate/2-oxoglutarate
SPAC328.10c	rps502	rps5-2	40S ribosomal protein S5
SPAC32A11.01	mug8		DUF1708 (GAP) family conserved fungal protein, cell division site
SPAC32A11.02c			DUF4449 family conserved fungal protein, involved in cell-cell communication in N. crassa, and negative regulation of mating in C. neoformans
SPAC32A11.03c	phx1		DNA-binding transcription factor, stationary phase-specific Phx1
SPAC32A11.04c	tif212	tif22,SPAC6B12.17c	translation initiation factor eIF2 beta subunit
SPAC343.01c	erg8		phosphomevalonate kinase Erg8
SPAC343.02	img1		mitochondrial ribosomal protein subunit L19
SPAC343.03	apc11		anaphase-promoting complex ubiquitin -protein ligase E3 subunit Apc11
SPAC343.04c	gid7		GID complex WD repeat subunit Gid7
SPAC343.05	vma1		V-type ATPase V1 domain, subunit A
SPAC343.06c	pls1		mitochondrial phospholipid scramblase Pls1
SPAC343.07	mug28		RNA-binding protein Mug28, implicated in mRNA processing
SPAC343.08c	mrp17		mitochondrial ribosomal protein subunit S6
SPAC343.09	ubx3	mug39	UBX domain protein Ubx3, Cdc48 cofactor
SPAC343.10	met11	mthfr2	methylenetetrahydrofolate reductase Met11
SPAC343.11c	msc1		Swr1 complex histone demethylase subunit Msc1
SPAC343.12	rds1		ferritin related conserved fungal protein
SPAC343.13	gta2	pet112	mitochondrial glutamyl-tRNA amidotransferase beta subunit Gta2
SPAC343.14c	tif222		translation initiation factor eIF2B beta subunit
SPAC343.15	tit1	mod5	tRNA isopentenyltransferase Tit1
SPAC343.16	lys2		homoaconitate hydratase Lys2
SPAC343.17c	wdr70		DDB1-CUL4-associated factor (DCAF), Wdr70
SPAC343.18	rfp2		SUMO-targeted ubiquitin-protein ligase subunit Rfp2
SPAC343.19	lsb6	SPAC824.01	1-phosphatidylinositol 4-kinase, type II Lsb6
SPAC343.20			dubious
SPAC343.21			dubious
SPAC3A11.02	cps3	mug188	zf-CCCH type zinc finger protein, unknown biological role Cps3, potential makorin ortholog
SPAC3A11.03	efm3		translation elongation factor EF2 methyltransferase Efm3
SPAC3A11.04	sei1		ER-associated lipid droplet biogenesis protein, seipin Sei1
SPAC3A11.05c	kms1		meiotic spindle pole body KASH domain protein Kms1
SPAC3A11.06	mvp1		sorting nexin Mvp1
SPAC3A11.07	nde1	nde2	external mitochondrial NADH dehydrogenase (ubiquinone) Nde1/Nde2
SPAC3A11.08	cul4	pcu4,Cul-4	CLRC complex subunit, cullin 4
SPAC3A11.09	sod22		plasma membrane sodium ion/proton antiporter Sod22
SPAC3A11.10c	dpe1	ppp44	dipeptidyl peptidase, unknown specificity, implicated in glutathione metabolism
SPAC3A11.11c			oxidoreductase, implicated in vitamin metabolism, or cellular detoxification
SPAC3A11.12c	rpt5	pam2,tbp1	19S proteasome base subcomplex ATPase subunit Rpt5
SPAC3A11.13	pfd6	SPAC3H5.02,yke2,gim1	prefoldin subunit Pfd6
SPAC3A11.14c	pkl1	klp1,SPAC3H5.03c	kinesin-14 family minus-end directed microtubule motor Pkl1
SPAC3A12.02	ceo2		mitochondrial inorganic diphosphatase, implicated in energy generation
SPAC3A12.03c	meu34	mug145	ubiquitin-protein ligase E3 Meu34, human ZNRF3 homolog
SPAC3A12.04c	rpp1		RNase P and RNase MRP subunit p30, Rpp1
SPAC3A12.05c	taf2		TATA-binding protein associated factor Taf2
SPAC3A12.06c			sodium/calcium exchanger
SPAC3A12.07	rpb11		DNA-directed RNA polymerase II complex subunit Rpb11
SPAC3A12.08			acyl-coenzyme A thioesterase
SPAC3A12.09c	ure4		urease accessory protein UreD
SPAC3A12.10	rpl2001	rpl20-1,rpl20,yl17b,rpl18a-2	60S ribosomal protein L20A
SPAC3A12.11c	cwf2	prp3,cwc2	zf-CCCH type zinc finger protein, Prp19 complex subunit, RNA-binding Cwf2
SPAC3A12.12	atp11		mitochondrial F1-FO ATP synthase chaperone Atp11
SPAC3A12.13c	tif310	hcr1	translation initiation factor eIF3j (p35)
SPAC3A12.14	cam1		calmodulin Cam1
SPAC3A12.15	vps53		GARP complex subunit Vps53
SPAC3A12.16c	tim17		TIM23 translocase complex subunit Tim17
SPAC3A12.17c	cys12	cys1b	cysteine synthase-like protein Cys12
SPAC3A12.18	zwf1	SPAC9.01	glucose-6-phosphate 1-dehydrogenase Zwf1
SPAC3A12.19	mrpl27		mitochondrial ribosomal protein subunit L41
SPAC3C7.01c	sac12	SPAC732.03c	inositol polyphosphate phosphatase
SPAC3C7.02c	pil2		meiotic eisosome BAR domain protein Pil2
SPAC3C7.03c	rad55	rhp55	DNA recombination mediator, RecA family ATPase Rad55/Rhp55
SPAC3C7.04			DNA-binding transcription factor
SPAC3C7.05c	mug191		alpha-1,6- mannanase
SPAC3C7.06c	pit1		serine/threonine protein kinase, meiotic, STKc MAK-like Pit1
SPAC3C7.07c	ate1		arginine protein transferase Ate1
SPAC3C7.08c	elf1		AAA family ATPase Elf1
SPAC3C7.09	set8		lysine methyltransferase Set8, unknown specificity
SPAC3C7.10	pex13		peroxin 13
SPAC3C7.11c	cnx1	cal1	calnexin Cnx1
SPAC3C7.12	tip1	noc1	CLIP170 family protein Tip1
SPAC3C7.13c			glucose-6-phosphate 1-dehydrogenase
SPAC3C7.14c	obr1	apt1,uhp1,p25	NAD(P)H dehydrogenase (quinone)
SPAC3F10.02c	trk1	sptrk	plasma membrane potassium ion transmembrane transporter Trk1
SPAC3F10.03	grs1		mitochondrial and cytoplasmic glycine-tRNA ligase Grs1
SPAC3F10.04	gsa1	gsh2	glutathione synthetase large and small subunit Gsa1
SPAC3F10.05c	mug113		GIY-YIGT nuclease superfamily protein
SPAC3F10.06c	rit1		initiator methionine tRNA 2'-O-ribosyl phosphate transferase
SPAC3F10.07c	erf4	mug91	palmitoyltransferase complex accessory subunit Erf4
SPAC3F10.08c	faf1		rRNA processing protein Faf1
SPAC3F10.09	his6		1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino) methylideneamino]imidazole-4-carboxamide isomerase His6
SPAC3F10.10c	map3		pheromone M-factor receptor Map3
SPAC3F10.11c	abc2		vacuolar phytochelatin and glutathione S-conjugate ABC family transmembrane transporter Abc2
SPAC3F10.12c			DNA-binding transcription factor
